id,lenght,retweet_count,hashtags,mentions,contains_url,demand_words,offer_words,tfidf_demand,tfidf_offer,neg_words,pos_words,n_known_medicines,cluster
21891.0,113.0,3.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,2.0,0.0,2.0
21892.0,107.0,2.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,0.0,2.0
21896.0,110.0,13.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,0.0,2.0
21897.0,108.0,2.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,0.0,2.0
21901.0,113.0,3.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,0.0,2.0
21904.0,113.0,5.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,6.0,3.0,0.0,2.0
21908.0,110.0,1.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,6.0,1.0,0.0,2.0
21910.0,109.0,5.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,1.0,2.0
21911.0,114.0,5.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,1.0,2.0
21912.0,114.0,5.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,6.0,2.0,1.0,2.0
21913.0,115.0,4.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,1.0,2.0
21914.0,112.0,3.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,1.0,2.0
21916.0,116.0,2.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,0.0,2.0
21920.0,111.0,4.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,1.0,2.0
21921.0,108.0,2.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,0.0,2.0
21922.0,108.0,4.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,0.0,2.0
21924.0,119.0,7.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,1.0,2.0
21928.0,113.0,5.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,6.0,1.0,0.0,2.0
21929.0,113.0,5.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,0.0,2.0
21930.0,117.0,5.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,2.0,1.0,2.0
21934.0,114.0,3.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,1.0,2.0
21937.0,115.0,3.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,2.0,1.0,2.0
21939.0,109.0,4.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,5.0,1.0,1.0,2.0
21945.0,99.0,22.0,0.0,1.0,0.0,4.0,0.0,0.3592391240845202,0.0,3.0,0.0,0.0,2.0
21946.0,54.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.089120618340239,0.0,0.0,0.0,2.0
21948.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
21967.0,142.0,4.0,0.0,6.0,0.0,2.0,1.0,0.15939681096488215,0.08484282865990753,2.0,0.0,0.0,2.0
22015.0,129.0,17.0,0.0,2.0,0.0,5.0,1.0,0.41822679953059766,0.08484282865990753,4.0,2.0,0.0,2.0
22028.0,131.0,67.0,1.0,2.0,0.0,3.0,0.0,0.23695118390258949,0.0,6.0,1.0,1.0,2.0
22053.0,109.0,29.0,0.0,0.0,0.0,4.0,0.0,0.3592391240845202,0.0,3.0,1.0,0.0,2.0
22068.0,121.0,11.0,0.0,2.0,0.0,4.0,1.0,0.3159181908319423,0.08484282865990753,3.0,1.0,0.0,2.0
22075.0,142.0,5.0,0.0,7.0,0.0,1.0,1.0,0.07898744028171438,0.08484282865990753,1.0,1.0,1.0,2.0
22078.0,121.0,9.0,0.0,3.0,0.0,1.0,0.0,0.07830583338642202,0.0,4.0,0.0,1.0,2.0
22098.0,144.0,15.0,0.0,2.0,0.0,2.0,1.0,0.15685086782979504,0.08484282865990753,2.0,2.0,0.0,2.0
22099.0,122.0,8.0,0.0,2.0,0.0,3.0,2.0,0.23508331636151591,0.16968565731981505,5.0,3.0,0.0,2.0
22111.0,112.0,4.0,0.0,3.0,0.0,1.0,0.0,0.10029865243481578,0.0,4.0,0.0,0.0,2.0
